"rt","stimulus","response","typeoftrial","subject","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","question_order"
"4690","Thank you for helping us with our Psych experiment! You will be shown a series of sentences in English and Spanish. Please rate the accuracy of our translations! Thank you :) <br> <br> Press any key to continue </br>","n","instructions","97133","html-keyboard-response","0","4696","0.0-0.0","39","1","2022-11-10 04:08:22","88e9cdf1e7919d78e5271708c3ed23e4","139.140.198.187","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_6",""
"14296","","{""Q0"":4}","","","survey-likert","1","18995","0.0-1.0-0.0","39","1","2022-11-10 04:08:22","88e9cdf1e7919d78e5271708c3ed23e4","139.140.198.187","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_6","[0]"
"16408","","{""Q0"":3}","","","survey-likert","2","35405","0.0-1.0-0.1","39","1","2022-11-10 04:08:22","88e9cdf1e7919d78e5271708c3ed23e4","139.140.198.187","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_6","[0]"
"15498","","{""Q0"":1}","","","survey-likert","3","50906","0.0-1.0-0.2","39","1","2022-11-10 04:08:22","88e9cdf1e7919d78e5271708c3ed23e4","139.140.198.187","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_6","[0]"
"9731","","{""Q0"":4}","","","survey-likert","4","60640","0.0-1.0-0.3","39","1","2022-11-10 04:08:22","88e9cdf1e7919d78e5271708c3ed23e4","139.140.198.187","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_6","[0]"
"15729","","{""Q0"":3}","","","survey-likert","5","76370","0.0-1.0-0.4","39","1","2022-11-10 04:08:22","88e9cdf1e7919d78e5271708c3ed23e4","139.140.198.187","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_6","[0]"
"6916","","{""Q0"":1}","","","survey-likert","6","83289","0.0-1.0-0.5","39","1","2022-11-10 04:08:22","88e9cdf1e7919d78e5271708c3ed23e4","139.140.198.187","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_6","[0]"
"28935","","{""Q0"":3}","","","survey-likert","7","112226","0.0-1.0-0.6","39","1","2022-11-10 04:08:22","88e9cdf1e7919d78e5271708c3ed23e4","139.140.198.187","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_6","[0]"
"23715","","{""Q0"":4}","","","survey-likert","8","135944","0.0-1.0-0.7","39","1","2022-11-10 04:08:22","88e9cdf1e7919d78e5271708c3ed23e4","139.140.198.187","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_6","[0]"
"6239","","{""Q0"":4}","","","survey-likert","9","142185","0.0-1.0-0.8","39","1","2022-11-10 04:08:22","88e9cdf1e7919d78e5271708c3ed23e4","139.140.198.187","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_6","[0]"
