"rt","stimulus","response","typeoftrial","subject","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","question_order"
"7233","Thank you for helping us with our Psych experiment! You will be shown a series of sentences in English and Spanish. Please rate the accuracy of our translations! Thank you :) <br> <br> Press any key to continue </br>"," ","instructions","17914","html-keyboard-response","0","7236","0.0-0.0","28","1","2022-11-09 21:41:31","88e9cdf1e7919d78e5271708c3ed23e4","139.140.218.82","Mozilla/5.0 (iPad; CPU OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/107.0.5304.66 Mobile/15E148 Safari/604.1","iPad","Chrome","107.0.5304.66","iOS","15_4",""
"11073","","{""Q0"":4}","","","survey-likert","1","18316","0.0-1.0-0.0","28","1","2022-11-09 21:41:31","88e9cdf1e7919d78e5271708c3ed23e4","139.140.218.82","Mozilla/5.0 (iPad; CPU OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/107.0.5304.66 Mobile/15E148 Safari/604.1","iPad","Chrome","107.0.5304.66","iOS","15_4","[0]"
"10977","","{""Q0"":1}","","","survey-likert","2","29295","0.0-1.0-0.1","28","1","2022-11-09 21:41:31","88e9cdf1e7919d78e5271708c3ed23e4","139.140.218.82","Mozilla/5.0 (iPad; CPU OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/107.0.5304.66 Mobile/15E148 Safari/604.1","iPad","Chrome","107.0.5304.66","iOS","15_4","[0]"
"3411","","{""Q0"":1}","","","survey-likert","3","32708","0.0-1.0-0.2","28","1","2022-11-09 21:41:31","88e9cdf1e7919d78e5271708c3ed23e4","139.140.218.82","Mozilla/5.0 (iPad; CPU OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/107.0.5304.66 Mobile/15E148 Safari/604.1","iPad","Chrome","107.0.5304.66","iOS","15_4","[0]"
"6628","","{""Q0"":4}","","","survey-likert","4","39337","0.0-1.0-0.3","28","1","2022-11-09 21:41:31","88e9cdf1e7919d78e5271708c3ed23e4","139.140.218.82","Mozilla/5.0 (iPad; CPU OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/107.0.5304.66 Mobile/15E148 Safari/604.1","iPad","Chrome","107.0.5304.66","iOS","15_4","[0]"
"6240","","{""Q0"":4}","","","survey-likert","5","45578","0.0-1.0-0.4","28","1","2022-11-09 21:41:31","88e9cdf1e7919d78e5271708c3ed23e4","139.140.218.82","Mozilla/5.0 (iPad; CPU OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/107.0.5304.66 Mobile/15E148 Safari/604.1","iPad","Chrome","107.0.5304.66","iOS","15_4","[0]"
"7722","","{""Q0"":4}","","","survey-likert","6","53302","0.0-1.0-0.5","28","1","2022-11-09 21:41:31","88e9cdf1e7919d78e5271708c3ed23e4","139.140.218.82","Mozilla/5.0 (iPad; CPU OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/107.0.5304.66 Mobile/15E148 Safari/604.1","iPad","Chrome","107.0.5304.66","iOS","15_4","[0]"
"17363","","{""Q0"":3}","","","survey-likert","7","70666","0.0-1.0-0.6","28","1","2022-11-09 21:41:31","88e9cdf1e7919d78e5271708c3ed23e4","139.140.218.82","Mozilla/5.0 (iPad; CPU OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/107.0.5304.66 Mobile/15E148 Safari/604.1","iPad","Chrome","107.0.5304.66","iOS","15_4","[0]"
"11159","","{""Q0"":4}","","","survey-likert","8","81827","0.0-1.0-0.7","28","1","2022-11-09 21:41:31","88e9cdf1e7919d78e5271708c3ed23e4","139.140.218.82","Mozilla/5.0 (iPad; CPU OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/107.0.5304.66 Mobile/15E148 Safari/604.1","iPad","Chrome","107.0.5304.66","iOS","15_4","[0]"
"24637","","{""Q0"":4}","","","survey-likert","9","106470","0.0-1.0-0.8","28","1","2022-11-09 21:41:31","88e9cdf1e7919d78e5271708c3ed23e4","139.140.218.82","Mozilla/5.0 (iPad; CPU OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/107.0.5304.66 Mobile/15E148 Safari/604.1","iPad","Chrome","107.0.5304.66","iOS","15_4","[0]"
