"rt","stimulus","response","typeoftrial","subject","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","question_order"
"15927","Thank you for helping us with our Psych experiment! You will be shown a series of sentences in English and Spanish. Please rate the accuracy of our translations! Thank you :) <br> <br> Press any key to continue </br>","i","instructions","56339","html-keyboard-response","0","15929","0.0-0.0","32","1","2022-11-10 02:06:19","88e9cdf1e7919d78e5271708c3ed23e4","139.140.207.29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7",""
"25417","","{""Q0"":3}","","","survey-likert","1","41352","0.0-1.0-0.0","32","1","2022-11-10 02:06:19","88e9cdf1e7919d78e5271708c3ed23e4","139.140.207.29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]"
"9711","","{""Q0"":2}","","","survey-likert","2","51069","0.0-1.0-0.1","32","1","2022-11-10 02:06:19","88e9cdf1e7919d78e5271708c3ed23e4","139.140.207.29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]"
"7370","","{""Q0"":4}","","","survey-likert","3","58445","0.0-1.0-0.2","32","1","2022-11-10 02:06:19","88e9cdf1e7919d78e5271708c3ed23e4","139.140.207.29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]"
"5441","","{""Q0"":4}","","","survey-likert","4","63890","0.0-1.0-0.3","32","1","2022-11-10 02:06:19","88e9cdf1e7919d78e5271708c3ed23e4","139.140.207.29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]"
"6791","","{""Q0"":4}","","","survey-likert","5","70684","0.0-1.0-0.4","32","1","2022-11-10 02:06:19","88e9cdf1e7919d78e5271708c3ed23e4","139.140.207.29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]"
"6911","","{""Q0"":4}","","","survey-likert","6","77599","0.0-1.0-0.5","32","1","2022-11-10 02:06:19","88e9cdf1e7919d78e5271708c3ed23e4","139.140.207.29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]"
"8588","","{""Q0"":4}","","","survey-likert","7","86190","0.0-1.0-0.6","32","1","2022-11-10 02:06:19","88e9cdf1e7919d78e5271708c3ed23e4","139.140.207.29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]"
"9182","","{""Q0"":3}","","","survey-likert","8","95376","0.0-1.0-0.7","32","1","2022-11-10 02:06:19","88e9cdf1e7919d78e5271708c3ed23e4","139.140.207.29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]"
"6551","","{""Q0"":3}","","","survey-likert","9","101931","0.0-1.0-0.8","32","1","2022-11-10 02:06:19","88e9cdf1e7919d78e5271708c3ed23e4","139.140.207.29","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15","Macintosh","Safari","16.1","OS X","10_15_7","[0]"
