"rt","stimulus","response","typeoftrial","subject","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","question_order"
"1838","Thank you for helping us with our Psych experiment! You will be shown a series of sentences in English and Spanish. Please rate the accuracy of our translations! Thank you :) <br> <br> Press any key to continue </br>"," ","instructions","11156","html-keyboard-response","0","1841","0.0-0.0","55","1","2022-11-10 16:09:35","88e9cdf1e7919d78e5271708c3ed23e4","139.140.197.16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7",""
"23398","","{""Q0"":3}","","","survey-likert","1","25244","0.0-1.0-0.0","55","1","2022-11-10 16:09:35","88e9cdf1e7919d78e5271708c3ed23e4","139.140.197.16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"6912","","{""Q0"":3}","","","survey-likert","2","32159","0.0-1.0-0.1","55","1","2022-11-10 16:09:35","88e9cdf1e7919d78e5271708c3ed23e4","139.140.197.16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"7922","","{""Q0"":1}","","","survey-likert","3","40083","0.0-1.0-0.2","55","1","2022-11-10 16:09:35","88e9cdf1e7919d78e5271708c3ed23e4","139.140.197.16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"6667","","{""Q0"":3}","","","survey-likert","4","46754","0.0-1.0-0.3","55","1","2022-11-10 16:09:35","88e9cdf1e7919d78e5271708c3ed23e4","139.140.197.16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"4973","","{""Q0"":3}","","","survey-likert","5","51728","0.0-1.0-0.4","55","1","2022-11-10 16:09:35","88e9cdf1e7919d78e5271708c3ed23e4","139.140.197.16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"6978","","{""Q0"":4}","","","survey-likert","6","58708","0.0-1.0-0.5","55","1","2022-11-10 16:09:35","88e9cdf1e7919d78e5271708c3ed23e4","139.140.197.16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"5694","","{""Q0"":3}","","","survey-likert","7","64404","0.0-1.0-0.6","55","1","2022-11-10 16:09:35","88e9cdf1e7919d78e5271708c3ed23e4","139.140.197.16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"12148","","{""Q0"":3}","","","survey-likert","8","76555","0.0-1.0-0.7","55","1","2022-11-10 16:09:35","88e9cdf1e7919d78e5271708c3ed23e4","139.140.197.16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"9830","","{""Q0"":1}","","","survey-likert","9","86389","0.0-1.0-0.8","55","1","2022-11-10 16:09:35","88e9cdf1e7919d78e5271708c3ed23e4","139.140.197.16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
