"rt","stimulus","response","typeoftrial","subject","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","question_order"
"6568","Thank you for helping us with our Psych experiment! You will be shown a series of sentences in English and Spanish. Please rate the accuracy of our translations! Thank you :) <br> <br> Press any key to continue </br>"," ","instructions","66153","html-keyboard-response","0","6570","0.0-0.0","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7",""
"6263","","{""Q0"":4}","","","survey-likert","1","12839","0.0-1.0-0.0","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"2380","","{""Q0"":4}","","","survey-likert","2","15221","0.0-1.0-0.1","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"1514","","{""Q0"":3}","","","survey-likert","3","16739","0.0-1.0-0.2","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"2625","","{""Q0"":4}","","","survey-likert","4","19366","0.0-1.0-0.3","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"2051","","{""Q0"":4}","","","survey-likert","5","21420","0.0-1.0-0.4","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"2252","","{""Q0"":4}","","","survey-likert","6","23675","0.0-1.0-0.5","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"1563","","{""Q0"":4}","","","survey-likert","7","25241","0.0-1.0-0.6","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"1529","","{""Q0"":4}","","","survey-likert","8","26774","0.0-1.0-0.7","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"1384","","{""Q0"":4}","","","survey-likert","9","28162","0.0-1.0-0.8","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"1742","","{""Q0"":4}","","","survey-likert","10","29906","0.0-1.0-0.9","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"1466","","{""Q0"":4}","","","survey-likert","11","31376","0.0-1.0-0.10","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"2211","","{""Q0"":4}","","","survey-likert","12","33590","0.0-1.0-0.11","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"1416","","{""Q0"":4}","","","survey-likert","13","35010","0.0-1.0-0.12","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"1270","","{""Q0"":4}","","","survey-likert","14","36283","0.0-1.0-0.13","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"1237","","{""Q0"":4}","","","survey-likert","15","37525","0.0-1.0-0.14","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
"1230","","{""Q0"":4}","","","survey-likert","16","38758","0.0-1.0-0.15","35","1","2022-11-10 04:05:50","88e9cdf1e7919d78e5271708c3ed23e4","139.140.222.173","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15","Macintosh","Safari","16.0","OS X","10_15_7","[0]"
